Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-29T01:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-29T00:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-28T23:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-28T22:00:00+00:00
Algeria,Algiers,14.0,36.755798,3.039114,reference grade,2024-06-28T21:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-28T20:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-28T19:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-28T18:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-28T17:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-28T16:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-28T15:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-28T14:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-28T13:00:00+00:00
Algeria,Algiers,19.0,36.755798,3.039114,reference grade,2024-06-28T12:00:00+00:00
Algeria,Algiers,20.0,36.755798,3.039114,reference grade,2024-06-28T11:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-28T10:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-28T09:00:00+00:00
Algeria,Algiers,9.0,36.755798,3.039114,reference grade,2024-06-28T08:00:00+00:00
Algeria,Algiers,11.0,36.755798,3.039114,reference grade,2024-06-28T07:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-28T06:00:00+00:00
Algeria,Algiers,8.0,36.755798,3.039114,reference grade,2024-06-28T05:00:00+00:00
Algeria,Algiers,6.0,36.755798,3.039114,reference grade,2024-06-28T04:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-28T03:00:00+00:00
Algeria,Algiers,7.0,36.755798,3.039114,reference grade,2024-06-28T02:00:00+00:00
Algeria,Algiers,10.0,36.755798,3.039114,reference grade,2024-06-28T01:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-28T00:00:00+00:00
Algeria,Algiers,-999.0,36.755798,3.039114,reference grade,2024-06-27T23:00:00+00:00
Algeria,Algiers,23.0,36.755798,3.039114,reference grade,2024-06-27T22:00:00+00:00
Algeria,Algiers,16.0,36.755798,3.039114,reference grade,2024-06-27T21:00:00+00:00
Algeria,Algiers,16.0,36.755798,3.039114,reference grade,2024-06-27T20:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-27T19:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-27T18:00:00+00:00
Algeria,Algiers,14.0,36.755798,3.039114,reference grade,2024-06-27T17:00:00+00:00
Algeria,Algiers,20.0,36.755798,3.039114,reference grade,2024-06-27T16:00:00+00:00
Algeria,Algiers,19.0,36.755798,3.039114,reference grade,2024-06-27T15:00:00+00:00
Algeria,Algiers,13.0,36.755798,3.039114,reference grade,2024-06-27T14:00:00+00:00
Algeria,Algiers,15.0,36.755798,3.039114,reference grade,2024-06-27T13:00:00+00:00
Algeria,Algiers,17.0,36.755798,3.039114,reference grade,2024-06-27T12:00:00+00:00
Algeria,Algiers,12.0,36.755798,3.039114,reference grade,2024-06-27T11:00:00+00:00
Algeria,Algiers,14.0,36.755798,3.039114,reference grade,2024-06-27T10:00:00+00:00
Australia,Ti Tree Bend,34.0,-41.419,147.124,reference grade,2024-07-01T14:12:06+00:00
Australia,Ti Tree Bend,34.0,-41.419,147.124,reference grade,2024-07-01T13:32:06+00:00
Australia,Ti Tree Bend,27.0,-41.419,147.124,reference grade,2024-07-01T13:12:06+00:00
Australia,Ti Tree Bend,30.0,-41.419,147.124,reference grade,2024-07-01T12:52:06+00:00
Australia,Ti Tree Bend,30.0,-41.419,147.124,reference grade,2024-07-01T12:32:06+00:00
Australia,Ti Tree Bend,28.0,-41.419,147.124,reference grade,2024-07-01T12:12:06+00:00
Australia,Ti Tree Bend,22.0,-41.419,147.124,reference grade,2024-07-01T11:52:06+00:00
Australia,Ti Tree Bend,25.0,-41.419,147.124,reference grade,2024-07-01T11:32:06+00:00
Australia,Ti Tree Bend,18.0,-41.419,147.124,reference grade,2024-07-01T11:12:05+00:00
Australia,Ti Tree Bend,23.0,-41.419,147.124,reference grade,2024-07-01T10:52:05+00:00
Australia,Ti Tree Bend,33.0,-41.419,147.124,reference grade,2024-07-01T10:32:05+00:00
Australia,Ti Tree Bend,22.0,-41.419,147.124,reference grade,2024-07-01T09:52:06+00:00
Australia,Ti Tree Bend,17.0,-41.419,147.124,reference grade,2024-07-01T09:42:06+00:00
Australia,Ti Tree Bend,31.0,-41.419,147.124,reference grade,2024-07-01T08:42:06+00:00
Australia,Ti Tree Bend,20.0,-41.419,147.124,reference grade,2024-07-01T08:22:06+00:00
Australia,Ti Tree Bend,46.0,-41.419,147.124,reference grade,2024-07-01T08:02:06+00:00
Australia,Ti Tree Bend,34.0,-41.419,147.124,reference grade,2024-07-01T07:42:05+00:00
Australia,Ti Tree Bend,11.0,-41.419,147.124,reference grade,2024-07-01T07:02:05+00:00
Australia,Ti Tree Bend,6.0,-41.419,147.124,reference grade,2024-07-01T06:42:06+00:00
Australia,Ti Tree Bend,1.0,-41.419,147.124,reference grade,2024-07-01T06:02:06+00:00
Australia,Ti Tree Bend,1.0,-41.419,147.124,reference grade,2024-07-01T05:42:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T05:22:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T04:42:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T04:02:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T03:42:05+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T03:22:06+00:00
Australia,Ti Tree Bend,0.0,-41.419,147.124,reference grade,2024-07-01T02:42:06+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-07-01T02:22:09+00:00
Australia,Ti Tree Bend,4.0,-41.419,147.124,reference grade,2024-07-01T02:02:06+00:00
Australia,Ti Tree Bend,5.0,-41.419,147.124,reference grade,2024-07-01T01:42:06+00:00
Australia,Ti Tree Bend,6.0,-41.419,147.124,reference grade,2024-07-01T01:22:05+00:00
Australia,Ti Tree Bend,5.0,-41.419,147.124,reference grade,2024-07-01T01:02:06+00:00
Australia,Ti Tree Bend,6.0,-41.419,147.124,reference grade,2024-07-01T00:42:06+00:00
Australia,Ti Tree Bend,6.0,-41.419,147.124,reference grade,2024-06-30T23:42:08+00:00
Australia,Ti Tree Bend,8.0,-41.419,147.124,reference grade,2024-06-30T23:22:06+00:00
Australia,Ti Tree Bend,11.0,-41.419,147.124,reference grade,2024-06-30T23:02:06+00:00
Australia,Ti Tree Bend,14.0,-41.419,147.124,reference grade,2024-06-30T22:42:05+00:00
Australia,Ti Tree Bend,21.0,-41.419,147.124,reference grade,2024-06-30T22:22:06+00:00
